date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:23:24	2531/2531	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Sep%202019%2001:11:42%20GMT	http://tuongnam.com.vn/kobolg/assets/images/brand-logo-3.png	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/brand-logo-3.png	(from http://tuongnam.com.vn/kobolg/home-04.html)
08:23:24	2852/2852	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Sep%202019%2001:11:54%20GMT	http://tuongnam.com.vn/kobolg/assets/images/brand-logo-2.png	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/brand-logo-2.png	(from http://tuongnam.com.vn/kobolg/home-04.html)
08:23:25	88833/88833	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Apr%202020%2015:27:40%20GMT	http://tuongnam.com.vn/kobolg/assets/images/banner4-41.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/banner4-41.jpg	(from http://tuongnam.com.vn/kobolg/home-04.html)
08:23:32	60361/60361	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2010:18:30%20GMT	http://tuongnam.com.vn/kobolg/assets/images/insta9.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/insta9.jpg	(from http://tuongnam.com.vn/kobolg/home-05.html)
08:23:34	43120/43120	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2009:40:40%20GMT	http://tuongnam.com.vn/kobolg/assets/images/insta10.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/insta10.jpg	(from http://tuongnam.com.vn/kobolg/home-05.html)
08:23:34	85576/85576	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Apr%202020%2016:55:22%20GMT	http://tuongnam.com.vn/kobolg/assets/images/h5-banner1.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/h5-banner1.jpg	(from http://tuongnam.com.vn/kobolg/home-05.html)
08:23:34	35440/35440	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2009:40:46%20GMT	http://tuongnam.com.vn/kobolg/assets/images/insta11.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/insta11.jpg	(from http://tuongnam.com.vn/kobolg/home-05.html)
08:23:37	43880/43880	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2009:41:04%20GMT	http://tuongnam.com.vn/kobolg/assets/images/insta12.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/insta12.jpg	(from http://tuongnam.com.vn/kobolg/home-05.html)
08:23:40	32229/32229	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2009:40:52%20GMT	http://tuongnam.com.vn/kobolg/assets/images/insta13.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/insta13.jpg	(from http://tuongnam.com.vn/kobolg/home-05.html)
08:23:47	80269/80269	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2009:41:10%20GMT	http://tuongnam.com.vn/kobolg/assets/images/insta14.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/insta14.jpg	(from http://tuongnam.com.vn/kobolg/home-05.html)
